Date,MSFT,AAPL,AMZN,SP 500
4/23/14,39.69,18.74,324.58,187.45
4/24/14,39.86,20.28,337.15,187.83
4/25/14,39.91,20.43,303.83,186.29
4/28/14,40.87,21.22,296.58,186.88
4/29/14,40.51,21.15,300.38,187.75
4/30/14,40.4,21.07,304.13,188.31
5/1/14,40,21.12,307.89,188.33
5/2/14,39.69,21.16,308.01,188.06
5/5/14,39.43,21.46,310.05,188.42
5/6/14,39.06,21.23,297.38,186.78
5/7/14,39.42,21.15,292.71,187.88
5/8/14,39.64,21,288.32,187.68
5/9/14,39.54,20.91,292.24,187.96
5/12/14,39.97,21.17,302.86,189.79
5/13/14,40.42,21.21,304.64,189.96
5/14/14,40.24,21.21,297.62,189.06
5/15/14,39.6,21.03,295.19,187.4
5/16/14,39.83,21.34,297.7,188.05
5/19/14,39.75,21.59,296.76,188.74
5/20/14,39.68,21.6,301.19,187.55
5/21/14,40.35,21.65,305.01,189.13
5/22/14,40.1,21.69,304.91,189.59
5/23/14,40.12,21.93,312.24,190.35
5/27/14,40.19,22.34,310.82,191.52
5/28/14,40.01,22.29,310.16,191.38
5/29/14,40.34,22.69,313.78,192.37
5/30/14,40.94,22.61,312.55,192.68
6/2/14,40.79,22.45,308.84,192.9
6/3/14,40.29,22.77,307.19,192.8
6/4/14,40.32,23.03,306.78,193.19
6/5/14,41.21,23.12,323.57,194.45
6/6/14,41.48,23.06,329.67,195.38
6/9/14,41.27,23.43,327.5,195.58
6/10/14,41.11,23.56,332.41,195.6
6/11/14,40.86,23.47,335.2,194.92
6/12/14,40.58,23.07,325.91,193.54
6/13/14,41.23,22.82,326.27,194.13
6/16/14,41.5,23.05,327.62,194.29
6/17/14,41.68,23.02,325.62,194.83
6/18/14,41.65,23.05,334.38,196.26
6/19/14,41.51,22.97,327,196.48
6/20/14,41.68,22.73,324.2,195.94
6/23/14,41.99,22.71,327.24,195.88
6/24/14,41.75,22.57,324.16,194.7
6/25/14,42.03,22.59,327.44,195.58
6/26/14,41.72,22.73,325.69,195.44
6/27/14,42.25,23,324.57,195.82
6/30/14,41.7,23.23,324.78,195.72
7/1/14,41.87,23.38,332.39,197.03
7/2/14,41.9,23.37,332.85,197.23
7/3/14,41.8,23.51,337.49,198.2
7/7/14,41.99,23.99,333.55,197.51
7/8/14,41.78,23.84,323.81,196.24
7/9/14,41.67,23.85,329.97,197.12
7/10/14,41.69,23.76,327.92,196.34
7/11/14,42.09,23.81,346.2,196.61
7/14/14,42.14,24.11,355.32,197.6
7/15/14,42.45,23.83,354.44,197.23
7/16/14,44.08,23.7,355.9,197.96
7/17/14,44.53,23.27,352.45,195.71
7/18/14,44.69,23.61,358.66,197.71
7/21/14,44.84,23.48,359.76,197.34
7/22/14,44.83,23.68,360.84,198.2
7/23/14,44.87,24.3,358.14,198.64
7/24/14,44.4,24.26,358.61,198.65
7/25/14,44.5,24.42,324.01,197.72
7/28/14,43.97,24.76,320.41,197.8
7/29/14,43.89,24.6,320,196.95
7/30/14,43.58,24.54,322.51,196.98
7/31/14,43.16,23.9,312.99,193.09
8/1/14,42.86,24.03,307.06,192.5
8/4/14,43.37,23.9,313.65,193.89
8/5/14,43.08,23.78,312.32,192.01
8/6/14,42.74,23.74,313.89,192.07
8/7/14,43.23,23.62,311.45,191.03
8/8/14,43.2,23.69,316.8,193.24
8/11/14,43.2,24,318.33,193.8
8/12/14,43.52,23.99,319.32,193.53
8/13/14,44.08,24.31,326.28,194.84
8/14/14,44.27,24.38,333.21,195.76
8/15/14,44.79,24.5,333.63,195.72
8/18/14,45.11,24.79,334.53,197.36
8/19/14,45.33,25.13,335.13,198.39
8/20/14,44.95,25.14,335.78,198.92
8/21/14,45.22,25.15,332.91,199.5
8/22/14,45.15,25.33,331.59,199.19
8/25/14,45.17,25.39,334.02,200.2
8/26/14,45.01,25.22,341.83,200.33
8/27/14,44.87,25.53,343.18,200.25
8/28/14,44.88,25.56,340.02,200.14
8/29/14,45.43,25.63,339.04,200.71
9/2/14,45.09,25.83,342.38,200.61
9/3/14,44.96,24.74,339,200.5
9/4/14,45.26,24.53,345.95,200.21
9/5/14,45.91,24.74,346.38,201.11
9/8/14,46.47,24.59,342.34,200.59
